X,Y,OBJECTID,CommunityName,EntityName,FacilityName,WastewaterTreatmentSystemID,WastewaterTreatmentSystemClass,WastewaterTreatmentSystemSize,NumberOfServiceConnectionsToWWT,NumberofResidentsServedByWWT,WastewaterTreatmentSystemURL,DataYear,AsOfDate
-542392.682179724,1456437.7217301,1,Alakanuk,City of Alakanuk,Alakanuk Wastewater Treatment System,46,Stabilization Pond,"10,000 - 50,000",145,685,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Alakanuk,2018,2018/09/01 09:00:00+00
94894.1750052113,2021732.2117518,2,Anaktuvuk Pass,North Slope Borough,Anaktuvuk Pass Wastewater Treatment System,430,2,"10,000 - 50,000",105,329,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Anaktuvuk Pass,2018,2018/09/01 09:00:00+00
219654.776002566,1255116.0131335,3,Anchorage,Municipality of Anchorage,Anchorage - Eagle River Wastewater Treatment System,19,3,"5,000,001 - 10,000,000",6267,16294,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Anchorage,2018,2018/09/01 09:00:00+00
219654.776002566,1255116.0131335,4,Anchorage,Municipality of Anchorage,Anchorage - Girdwood Wastewater Treatment System,20,3,"1,000,001 - 5,000,000",1370,3055,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Anchorage,2018,2018/09/01 09:00:00+00
219654.776002566,1255116.0131335,5,Anchorage,Municipality of Anchorage,Anchorage - John M. Asplund Wastewater Treatment System,21,3,"greater than 50,000,000",91610,238186,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Anchorage,2018,2018/09/01 09:00:00+00
-101340.085091652,2367854.78427591,6,Utqiagvik,City of Utqiagvik,Utqiagvik Wastewater Treatment System,59,2,"500,001 - 1,000,000",1246,4065,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Barrow,2018,2018/09/01 09:00:00+00
-420708.278759602,1225426.14172369,7,Bethel,City of Bethel,Bethel Wastewater Treatment System,63,Stabilization Pond,"500,001 - 1,000,000",,5800,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Bethel,2018,2018/09/01 09:00:00+00
-611354.424196487,1336742.93853633,8,Chevak,City of Chevak,Chevak Wastewater Treatment System,263,Stabilization Pond,"10,000 - 50,000",190,950,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Chevak,2018,2018/09/01 09:00:00+00
449342.259723163,1201051.13488894,9,Cordova,City of Cordova,Cordova Wastewater Treatment System,68,2,"1,000,001 - 5,000,000",850,1699,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Cordova,2018,2018/09/01 09:00:00+00
1296030.657618,812250.477935671,10,Craig,City of Craig,Craig Wastewater Treatment System,72,2,"500,001 - 1,000,000",489,1200,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Craig,2018,2018/09/01 09:00:00+00
217277.130689913,2262085.46202091,11,Prudhoe Bay,British Petroleum Exploration Alaska,CSTF Wastewater Treatment System,438,3,"100,001 - 500,000",1,500,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Prudhoe Bay,2018,2018/09/01 09:00:00+00
250384.104505055,1539173.8270557,12,McKinley Park,National Park Service,Denali - Main / Front Country Wastewater System,534,1,"100,001 - 500,000",28,500,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Denali Park,2018,2018/09/01 09:00:00+00
297451.122435015,1667250.52583679,13,Fairbanks,Denali Princess Wilderness Lodge,Denali Princess Wilderness Lodge Wastewater Treatment System,412,2,"100,001 - 500,000",8,1242,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Fairbanks,2018,2018/09/01 09:00:00+00
-255124.356832352,1013454.33726759,14,Dillingham,City of Dillingham,Dillingham Wastewater Treatment System,77,1,"100,001 - 500,000",235,2250,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Dillingham,2018,2018/09/01 09:00:00+00
329641.524583777,1651455.25684685,15,Eielson AFB,United States Air Force,Eielson Wastewater Treatment System,143,2,"1,000,001 - 5,000,000",716,9100,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Eielson AFB,2018,2018/09/01 09:00:00+00
-533862.500692765,1465251.09820479,16,Emmonak,City of Emmonak,Emmonak Wastewater Treatment System,83,Stabilization Pond,"10,000 - 50,000",206,811,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Emmonak,2018,2018/09/01 09:00:00+00
403401.069508971,1583732.89992751,17,Fort Greely,"Doyon Utilities, LLC.",Fort Greely Wastewater Treatment System,35,1,"100,001 - 500,000",88,770,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Fort Greely,2018,2018/09/01 09:00:00+00
389073.564338591,1871099.73034416,18,Fort Yukon,City of Fort Yukon,Fort Yukon Wastewater Treatment System,88,Stabilization Pond,"50,001 - 100,000",190,600,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Fort Yukon,2018,2018/09/01 09:00:00+00
-136929.048064206,1645322.79561483,19,Galena,City of Galena,Galena Wastewater Treatment System,92,Stabilization Pond,"10,000 - 50,000",63,500,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Galena,2018,2018/09/01 09:00:00+00
-861997.814385761,1650244.02772454,20,Gambell,City of Gambell,Gambell Wastewater Treatment System,95,Stabilization Pond,"10,000 - 50,000",134,750,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Gambell,2018,2018/09/01 09:00:00+00
297451.122435015,1667250.52583679,21,Fairbanks,Utility Services of Alaska,GHU Wastewater Treatment System,8,3,"5,000,001 - 10,000,000",8430,56000,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Fairbanks,2018,2018/09/01 09:00:00+00
240926.821790618,1297506.21701674,22,Wasilla,"Valley Utilities, LLC",Goose Creek Correctional Center Wastewater Treatment Facility,494,2,"100,001 - 500,000",,1836,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Wasilla,2018,2018/09/01 09:00:00+00
1041543.03861916,1173102.92792167,23,Haines,Haines Borough,Haines Wastewater Treatment System,102,2,"1,000,001 - 5,000,000",550,1800,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Haines,2018,2018/09/01 09:00:00+00
138629.431040531,1075412.72148041,24,Homer,City of Homer,Homer Wastewater Treatment System,110,3,"1,000,001 - 5,000,000",1500,5400,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Homer,2018,2018/09/01 09:00:00+00
1076331.88660443,1052302.38238846,25,Hoonah,City of Hoonah,Hoonah Wastewater Treatment System,278,1,"100,001 - 500,000",300,900,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Hoonah,2018,2018/09/01 09:00:00+00
1128714.87956297,1089944.9642957,26,Juneau,City and Borough of Juneau,Juneau - Auke Bay Wastewater Treatment System,7,2,"100,001 - 500,000",169,,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Juneau,2018,2018/09/01 09:00:00+00
1128714.87956297,1089944.9642957,27,Juneau,City and Borough of Juneau,Juneau - Mendenhall Wastewater Treatment System,1,3,"5,000,001 - 10,000,000",4598,,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Juneau,2018,2018/09/01 09:00:00+00
1128714.87956297,1089944.9642957,28,Juneau,City and Borough of Juneau,Juneau Douglas Wastewater Treatment System,2,2,"5,000,001 - 10,000,000",2038,,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Juneau,2018,2018/09/01 09:00:00+00
