X,Y,OBJECTID,CommunityName,UtilityType,FacilityName,FacilityOwner,Class,ResidentsServed,NumberOfServiceConnections,SystemID,NumberOfPressureZones,CirculatedOrHeatedSystem,AsOfDate
-542392.68206103,1456437.72182411,1,Alakanuk,Water Distribution,Alakanuk Water Distribution System,"Alakanuk, City of",WD 2,570,147,44,3,Yes,2023/07/31 08:00:00+00
219654.775923324,1255116.01268035,2,Anchorage,Water Distribution,Unified Alaskan Utilities-Homestead Water Distribution System,Unified Alaskan Utilities-Homestead,WD 1,852,213,211431,2,No,2023/07/31 08:00:00+00
94894.1751459759,2021732.21131396,3,Anaktuvuk Pass,Water Distribution,Anaktuvuk Pass Water Distribution System,North Slope Borough,WD 2,340,105,519,1,Yes,2023/07/31 08:00:00+00
219654.775923324,1255116.01268035,4,Anchorage,Water Distribution,Anchorage Water Distribution System,"Anchorage, City of",WD 4,221379,85146,24,55,No,2023/07/31 08:00:00+00
262653.505677014,1230166.70557979,5,Girdwood,Water Distribution,Girdwood Water Distribution System,"Anchorage, City of",WD 3,2333,1088,27,6,Yes,2023/07/31 08:00:00+00
1144736.49530355,1001399.30409643,6,Angoon,Water Distribution,Angoon Water Distribution System,"Angoon, City of",WD 1,375,158,29,3,No,2023/07/31 08:00:00+00
-420708.278583235,1225426.14136511,7,Bethel,Water Distribution,Bethel City S/D Water Distribution System,"Bethel, City of",WD 2,1450,250,62,1,Yes,2023/07/31 08:00:00+00
-420708.278583235,1225426.14136511,8,Bethel,Water Distribution,Bethel Heights Water Distribution System,"Bethel, City of",WD 2,2020,296,40,1,Yes,2023/07/31 08:00:00+00
-611354.424221957,1336742.93808656,9,Chevak,Water Distribution,Chevak Water Distribution System,"Chevak, City of",WD 2,950,190,262,1,Yes,2023/07/31 08:00:00+00
1296627.69138198,875531.322046869,10,Coffman Cove,Water Distribution,Coffman Cove Water Distribution System,"Coffman Cove, City of",WD 1,199,141,495,1,No,2023/07/31 08:00:00+00
449342.259478468,1201051.13508385,11,Cordova,Water Distribution,Cordova Water Distribution System,"Cordova, City of",WD 2,1700,872,67,3,No,2023/07/31 08:00:00+00
1296030.65760968,812250.477347349,12,Craig,Water Distribution,Craig Water Distribution System,"Craig, City of",WD 2,1420,581,71,1,No,2023/07/31 08:00:00+00
-255124.356889429,1013454.33727143,13,Dillingham,Water Distribution,Dillingham Water Distribution System,"Dillingham, City of",WD 1,2250,215,76,1,No,2023/07/31 08:00:00+00
219654.775923324,1255116.01268035,14,Anchorage,Water Distribution,Dimond Estates Water Distribution System,Dimond Estates TC,WD 2,1395,513,522,1,No,2023/07/31 08:00:00+00
-533862.500488994,1465251.0985118,15,Emmonak,Water Distribution,Emmonak Water Distribution System,"Emmonak, City of",WD 2,811,206,82,1,Yes,2023/07/31 08:00:00+00
258015.620438038,1300696.69892349,16,Palmer,Water Distribution,Equestrian Acres Water System,Equestrian Acres,WD 1,950,230,227199,1,No,2023/07/31 08:00:00+00
297451.122482249,1667250.52584127,17,Fairbanks,Water Distribution,CUC Water Distribution System,Utility Services of Alaska,WD 3,13000,2505,310900,2,Yes,2023/07/31 08:00:00+00
297451.122482249,1667250.52584127,18,Fairbanks,Water Distribution,GHU Water Distribution System,Utility Services of Alaska,WD 4,31535,6276,4,1,Yes,2023/07/31 08:00:00+00
389073.564573699,1871099.72992694,19,Fort Yukon,Water Distribution,Fort Yukon Water Distribution System,"Fort Yukon, City of",WD 2,600,190,87,1,Yes,2023/07/31 08:00:00+00
-136929.048131091,1645322.79517116,20,Galena,Water Distribution,Galena Water Distribution System,"Galena, City of",WD 2,500,63,91,2,Yes,2023/07/31 08:00:00+00
