,year,commname,region,subreg,resource,used,trying,hrvsting,giving,receving,xtotnum,xtotlbs,units,numharv,percap,totlbhrv,mupch,pcttotal,mupc,xupc,commhh
47,1982,Akhiok,Southwest,Kodiak and Afognak Islands,Fish,1.0,,1.0,0.571,0.714,6237.0,27500.0,Ind.,4851.0,267.359985351563,21388.94921875,267.359985351563,0.0051468247547745,,,27.0
72,1982,Akhiok,Southwest,Kodiak and Afognak Islands,Land Mammals,0.952,,0.905,0.619,0.81,111.0,4247.0,Ind.,86.0,41.2900009155273,3303.19995117188,43.3718528747559,0.0007948569254949,,,27.0
86,1982,Akhiok,Southwest,Kodiak and Afognak Islands,Marine Mammals,1.0,,0.952,,,143.0,15768.0,Ind.,111.0,153.300003051758,12264.0,153.300003051758,0.0029510958120226,,,27.0
90,1982,Akhiok,Southwest,Kodiak and Afognak Islands,Birds and Eggs,1.0,,1.0,0.619,0.762,1587.0,1380.0,Ind.,1234.0,13.4200000762939,1073.38000488281,13.4200000762939,0.0002582770248409,,,27.0
117,1982,Akhiok,Southwest,Kodiak and Afognak Islands,Plants/Greens/Mushrooms,,,0.714,,,,,,,,,,,,,27.0
120,1986,Akhiok,Southwest,Kodiak and Afognak Islands,Fish,0.833,0.833,0.833,0.5,0.083,14418.0,14418.0,lb.,5088.66015625,118.339996337891,5088.66015625,142.064819335938,0.0072884438559413,105.882049560547,444.393157958984,34.0
232,1986,Akhiok,Southwest,Kodiak and Afognak Islands,Land Mammals,0.583,0.583,0.5,0.417,0.167,77.0,3799.0,Ind.,27.0,31.1800003051758,1340.94995117188,53.481990814209,0.0019204327836632,61.8214874267578,73.4442977905274,34.0
251,1986,Akhiok,Southwest,Kodiak and Afognak Islands,Marine Mammals,0.25,0.167,0.167,0.167,0.167,11.0,184.0,Ind.,4.0,1.50999999046326,65.0,6.03999996185303,9.30138485273346e-05,0.0,14.4983100891113,34.0
258,1986,Akhiok,Southwest,Kodiak and Afognak Islands,Birds and Eggs,0.333,0.333,0.25,0.083,0.083,99.0,43.0,Ind.,35.0,0.349999994039536,15.1499996185303,1.05105102062225,2.17369306483306e-05,0.0,10.0659694671631,34.0
316,1986,Akhiok,Southwest,Kodiak and Afognak Islands,Plants/Greens/Mushrooms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,34.0
319,1989,Akhiok,Southwest,Kodiak and Afognak Islands,Fish,1.0,0.7,0.7,0.7,0.9,9470.0,9470.0,lb.,7284.9599609375,169.410003662109,7284.9599609375,169.410003662109,0.0056907637044787,236.276992797852,246.049987792969,13.0
435,1989,Akhiok,Southwest,Kodiak and Afognak Islands,Land Mammals,1.0,0.7,0.7,0.6,0.6,48.0,1634.0,Ind.,37.0,29.2299995422363,1256.80004882813,29.2299995422363,0.0009819121332839,31.5795135498047,54.6793441772461,13.0
451,1989,Akhiok,Southwest,Kodiak and Afognak Islands,Marine Mammals,1.0,0.6,0.6,0.6,0.8,2548.0,2548.0,lb.,1960.0,45.5800018310547,1960.0,45.5800018310547,0.0015311579918488,91.827522277832,91.827522277832,13.0
458,1989,Akhiok,Southwest,Kodiak and Afognak Islands,Birds and Eggs,1.0,0.9,0.9,0.7,0.5,966.0,434.0,Ind.,743.0,7.76000022888184,334.149993896484,7.76000022888184,0.0002608016366139,9.45417308807373,19.1118755340576,13.0
553,1989,Akhiok,Southwest,Kodiak and Afognak Islands,Plants/Greens/Mushrooms,0.2,0.2,0.2,0.0,0.0,4.0,4.0,Quarts,3.0,0.0700000002980232,3.0,0.349999994039536,2.40370172832627e-06,0.0,1.24271237850189,13.0
557,1992,Akhiok,Southwest,Kodiak and Afognak Islands,Fish,1.0,0.958,0.958,0.708,0.667,17909.0,17909.0,lb.,17909.470703125,223.860000610352,17909.470703125,223.860000610352,0.0069590047933161,227.638809204102,796.252075195313,24.0
730,1992,Akhiok,Southwest,Kodiak and Afognak Islands,Land Mammals,0.875,0.708,0.667,0.417,0.458,53.0,2248.0,Ind.,53.0,28.1000003814697,2248.39990234375,32.1142845153809,0.0008735185838304,36.6630439758301,107.99169921875,24.0
754,1992,Akhiok,Southwest,Kodiak and Afognak Islands,Marine Mammals,0.708,0.417,0.25,0.333,0.625,20.0,1552.0,Ind.,20.0,19.3999996185303,1552.0,27.4011287689209,0.000603069725912,21.9085578918457,40.549243927002,24.0
763,1992,Akhiok,Southwest,Kodiak and Afognak Islands,Birds and Eggs,0.792,0.667,0.667,0.375,0.375,564.0,277.0,Ind.,564.0,3.46000003814697,276.649993896484,4.36868715286255,0.0001076355183613,1.9572719335556,15.4761571884155,24.0
871,1992,Akhiok,Southwest,Kodiak and Afognak Islands,Plants/Greens/Mushrooms,0.333,0.25,0.25,0.0,0.083,6.0,22.0,Gal.,5.5,0.280000001192093,22.0,0.840840876102448,8.54866902955109e-06,0.0,9.94169902801514,24.0
939,2003,Akhiok,Southwest,Kodiak and Afognak Islands,Fish,1.0,1.0,1.0,0.727,0.818,8503.6904296875,8503.6904296875,lb.,6236.0400390625,119.923843383789,6236.0400390625,119.923843383789,0.649300754070282,,242.805282592773,15.0
1134,2003,Akhiok,Southwest,Kodiak and Afognak Islands,Land Mammals,0.909,0.818,0.727,0.273,0.364,1531.63635253906,1531.63635253906,lb.,1123.19995117188,21.6000003814697,1123.19995117188,23.7600002288818,0.116948351264,,44.7376441955566,15.0
