,year,commname,adj_households_in_community,relying_on_substinence,BoroughCensusArea,sqMiLand,sqMiWater,resource,using,trying,harvesting,giving,receving,units_harvested,pounds_harvested,harv_mes_units,units_harvested_by_sample,lbs_harvested_percapita,lbs_harvested_by_sample,lbs_used_percapita,perc_contribution_to_harvest,labor_force,employed,unemployed,unemployment_rate,median_age,n_families,median_family_income,n_households,n_houses,n_occupied_houses,house_vacancy_rate,n_total_population(ACS),p_people_below_poverty,p_households_below_poverty,p_population_native,p_population_non_native,p_population_white,p_population_black,p_population_asian,ratio_male_over_female,local_tax_burden,federal_tax_burden,Gini,AGI,pop_density
111,2011,Anaktuvuk Pass,85.0,YES,North Slope Borough,4.8,0.1,Fish,0.887,0.806,0.71,0.597,0.694,5789.0,5789.0,lb.,4160.51708984375,18.6837215423584,4160.51708984375,21.0616493225098,0.0589836128056049,3980.0,3670.0,310.0,7.8,29.2,1394.0,5610.0,1966.0,2517.0,1966.0,21.891140246324987,9088.0,,6.205493387589013,57.96654929577465,42.03345070422535,31.6681338028169,0.5171654929577465,1.0453345070422535,1.443010752688172,0.00272335728768,0.0160942017683825,0.2778237305655051,628326.0,1893.3333333333333
112,2011,Anaktuvuk Pass,85.0,YES,North Slope Borough,4.8,0.1,Land Mammals,0.952,0.629,0.532,0.581,0.823,89920.0,89920.0,lb.,65588.5,290.214599609375,65588.5,304.971252441406,0.916193604469299,3980.0,3670.0,310.0,7.8,29.2,1394.0,5610.0,1966.0,2517.0,1966.0,21.891140246324987,9088.0,,6.205493387589013,57.96654929577465,42.03345070422535,31.6681338028169,0.5171654929577465,1.0453345070422535,1.443010752688172,0.00272335728768,0.0160942017683825,0.2778237305655051,628326.0,1893.3333333333333
113,2011,Anaktuvuk Pass,85.0,YES,North Slope Borough,4.8,0.1,Marine Mammals,0.597,0.016,,0.274,0.597,,,lb.,0.0,,,,,3980.0,3670.0,310.0,7.8,29.2,1394.0,5610.0,1966.0,2517.0,1966.0,21.891140246324987,9088.0,,6.205493387589013,57.96654929577465,42.03345070422535,31.6681338028169,0.5171654929577465,1.0453345070422535,1.443010752688172,0.00272335728768,0.0160942017683825,0.2778237305655051,628326.0,1893.3333333333333
114,2011,Anaktuvuk Pass,85.0,YES,North Slope Borough,4.8,0.1,Birds and Eggs,0.452,0.306,0.258,0.226,0.29,432.0,432.0,lb.,315.100006103516,1.39424777030945,315.100006103516,3.0872631072998,0.0044015734456479,3980.0,3670.0,310.0,7.8,29.2,1394.0,5610.0,1966.0,2517.0,1966.0,21.891140246324987,9088.0,,6.205493387589013,57.96654929577465,42.03345070422535,31.6681338028169,0.5171654929577465,1.0453345070422535,1.443010752688172,0.00272335728768,0.0160942017683825,0.2778237305655051,628326.0,1893.3333333333333
115,2011,Anaktuvuk Pass,85.0,YES,North Slope Borough,4.8,0.1,Plants/Greens/Mushrooms,0.129,0.129,0.129,0.081,0.065,27.0,26.0,Gal.,20.03125,0.084623895585537,19.125,0.0065583516843617,0.0002671535767149,3980.0,3670.0,310.0,7.8,29.2,1394.0,5610.0,1966.0,2517.0,1966.0,21.891140246324987,9088.0,,6.205493387589013,57.96654929577465,42.03345070422535,31.6681338028169,0.5171654929577465,1.0453345070422535,1.443010752688172,0.00272335728768,0.0160942017683825,0.2778237305655051,628326.0,1893.3333333333333
2750,2011,Dry Creek,30.0,YES,Southeast Fairbanks Census Area,,,Plants/Greens/Mushrooms,0.222,0.222,0.222,0.111,,121.0,119.0,Gal.,108.3125,1.3111515045166,107.3125,5.90018224716187,0.0093584563583135,3194.0,2789.0,405.0,12.7,36.5,1747.0,8652.0,2523.0,3873.0,2523.0,34.856700232378,7000.0,,5.469678953626635,9.1,90.9,81.24285714285713,2.3285714285714283,0.8999999999999999,1.2335673261008295,0.001937085801161,0.0142170357891276,0.3028331216654724,2861820.0,
2747,2011,Dry Creek,30.0,YES,Southeast Fairbanks Census Area,,,Fish,1.0,0.481,0.444,0.296,0.963,1876.0,1876.0,lb.,1680.83996582031,20.5909671783447,1680.83996582031,20.5909671783447,0.146969795227051,3194.0,2789.0,405.0,12.7,36.5,1747.0,8652.0,2523.0,3873.0,2523.0,34.856700232378,7000.0,,5.469678953626635,9.1,90.9,81.24285714285713,2.3285714285714283,0.8999999999999999,1.2335673261008295,0.001937085801161,0.0142170357891276,0.3028331216654724,2861820.0,
2748,2011,Dry Creek,30.0,YES,Southeast Fairbanks Census Area,,,Land Mammals,1.0,0.519,0.37,0.444,0.926,9736.0,9736.0,lb.,8762.0,106.853660583496,8762.0,106.853660583496,0.762677252292633,3194.0,2789.0,405.0,12.7,36.5,1747.0,8652.0,2523.0,3873.0,2523.0,34.856700232378,7000.0,,5.469678953626635,9.1,90.9,81.24285714285713,2.3285714285714283,0.8999999999999999,1.2335673261008295,0.001937085801161,0.0142170357891276,0.3028331216654724,2861820.0,
2751,2011,Evansville,13.0,YES,Yukon-Koyukuk Census Area,0.0,0.0,Fish,0.769,0.385,0.385,0.385,0.692,257.0,257.0,lb.,256.844390869141,12.8422203063965,256.844390869141,16.6948852539063,0.243118673563004,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
2752,2011,Evansville,13.0,YES,Yukon-Koyukuk Census Area,0.0,0.0,Land Mammals,0.923,0.231,0.154,0.538,0.923,540.0,540.0,lb.,540.0,27.0,540.0,29.25,0.511142492294312,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
