,Place,Year,median_age,n_pop_under_14,n_pop_under_18,n_pop_18-65,n_pop_65-85,n_pop_over_85,n_families,median_family_income,n_households,n_houses,n_occupied_houses,house_vacancy_rate,n_people_below_poverty,n_households_below_poverty,n_people_under_18_below_poverty,n_people_18-64_below_poverty,n_people_65_plus_below_poverty,n_population_native,n_population_non_native,n_population_white,n_population_black,n_population_asian,n_population_male,n_population_female,n_total_population(ACS),p_pop_under_14,p_pop_under_18,p_pop_18_65,p_pop_65_85,p_pop_over_85,p_families,p_households,p_occupied_houses,p_people_below_poverty,p_households_below_poverty,p_people_under_18_below_poverty,p_people_18_64_below_poverty,p_people_65_plus_below_poverty,p_population_native,p_population_non_native,p_population_white,p_population_black,p_population_asian,ratio_male_over_female
0,Alaska,2011,33.8,153256,186097,461925,48440,4241,,,252920,304373,252920,16.904587463408383,,11032.0,,,,97628,603075,472504,23426,35912,363548,337155,700703,21.87174880084715,26.558613278379,65.92308010669285,6.91305731529621,0.6052492996319411,,83.09541253659162,83.09541253659162,,4.361853550529812,,,,13.932864566014416,86.06713543398558,67.43284958106359,3.3432138866252887,5.125138610795159,1.0782815025730006
1,Aleutians East Borough,2011,39.3,176,221,2750,110,3,204.0,9122.0,336,535,336,37.19626168224299,,21.0,,,,474,2610,689,486,1250,2232,852,3084,5.706874189364462,7.1660181582360565,89.16990920881972,3.5667963683527883,0.09727626459143969,60.71428571428571,62.80373831775701,62.80373831775701,,6.25,,,,15.369649805447471,84.63035019455253,22.34111543450065,15.758754863813229,40.53177691309987,2.619718309859155
2,Aleutians West Census Area,2011,41.5,666,825,4380,279,4,733.0,11704.0,1255,2268,1255,44.664902998236336,,34.0,,,,921,4567,2053,361,1373,3624,1864,5488,12.135568513119534,15.03279883381924,79.81049562682216,5.083819241982508,0.0728862973760933,58.40637450199203,55.335097001763664,55.335097001763664,,2.7091633466135456,,,,16.78206997084548,83.21793002915452,37.40889212827989,6.577988338192419,25.018221574344025,1.944206008583691
3,Anchorage,2011,33.0,61765,74716,191928,19034,1712,,,105123,112804,105123,6.809155703698451,,3804.0,,,,18720,268670,193404,15844,22013,145572,141818,287390,21.49170117262257,25.99812102021643,66.78311701868542,6.623055777862835,0.5957061832353249,,93.19084429630155,93.19084429630155,,3.618618190120145,,,,6.5137965830404685,93.48620341695954,67.29670482619437,5.513065868680191,7.6596262917986015,1.0264705467571111
35,Bethel Census Area,2011,25.9,5131,6187,9811,904,71,3272.0,3229.0,4295,5884,4295,27.005438477226377,,571.0,,,,13759,3214,2032,77,178,8812,8161,16973,30.23036587521357,36.45201201908914,57.803570376480295,5.3261061686207505,0.4183114358098156,76.18160651920837,72.99456152277362,72.99456152277362,,13.29452852153667,,,,81.06404289165144,18.935957108348553,11.971955458669651,0.45366169799092676,1.0487244447062982,1.0797696360740106
36,Bristol Bay Borough,2011,41.9,210,267,694,64,10,304.0,14786.0,424,952,424,55.46218487394958,,10.0,,,,318,717,548,1,2,539,496,1035,20.28985507246377,25.79710144927536,67.05314009661836,6.183574879227053,0.966183574879227,71.69811320754717,44.537815126050425,44.537815126050425,,2.358490566037736,,,,30.72463768115942,69.27536231884058,52.946859903381636,0.0966183574879227,0.1932367149758454,1.0866935483870968
37,Denali Borough,2011,42.8,287,354,1328,88,0,389.0,18701.0,699,1507,699,53.61645653616457,,0.0,,,,50,1720,1556,18,68,913,857,1770,16.214689265536723,20.0,75.02824858757063,4.971751412429379,0.0,55.65092989985694,46.38354346383544,46.38354346383544,,0.0,,,,2.824858757062147,97.17514124293785,87.909604519774,1.0169491525423728,3.84180790960452,1.0653442240373396
38,Dillingham Census Area,2011,29.1,1278,1607,2884,327,27,911.0,8359.0,1369,2416,1369,43.336092715231786,,120.0,,,,3272,1573,911,16,47,2535,2310,4845,26.377708978328172,33.16821465428277,59.52528379772962,6.749226006191951,0.5572755417956656,66.54492330168006,56.663907284768214,56.663907284768214,,8.765522279035793,,,,67.53353973168214,32.46646026831785,18.802889576883388,0.3302373581011352,0.9700722394220845,1.0974025974025974
39,Fairbanks North Star Borough,2011,30.8,20846,24813,65315,5634,399,24344.0,3545.0,35583,41191,35583,13.614624553907406,,1291.0,,,,6705,89456,74613,4352,2536,50777,45384,96161,21.67822713990079,25.803600212144218,67.92254656253574,5.858924096047255,0.41492912927278214,68.41469240929658,86.3853754460926,86.3853754460926,,3.6281370317286346,,,,6.972681232516301,93.0273187674837,77.59174717401025,4.525743284699618,2.6372437890620937,1.1188304248193195
40,Haines Borough,2011,44.0,490,544,1583,325,67,742.0,12490.0,1176,1668,1176,29.496402877697843,,17.0,,,,211,2308,2063,5,22,1383,1136,2519,19.45216355696705,21.595871377530766,62.842397776895595,12.901945216355697,2.659785629217944,63.095238095238095,70.50359712230215,70.50359712230215,,1.445578231292517,,,,8.376339817387853,91.62366018261214,81.89757840412862,0.19849146486701072,0.8733624454148471,1.2174295774647887
