,CommunityName,IncorporationType,BoroughCensusArea,NativeRegionalHealthCarePro,SchoolDistrict,ClimateRegion,EnergyRegion,EconomicRegion,sqMiLand,sqMiWater
0,Lake and Peninsula Borough,Non-Unified Home Rule Borough,Lake and Peninsula Borough,Yukon-Kuskokwim Health Corporation,Lake and Peninsula Borough School District,Western Transitional,Bristol Bay,Southwest Economic Region,23782.0,7125.0
1,Denali Borough,Non-Unified Home Rule Borough,Denali Borough,"Tanana Chiefs Conference, Department of Health Services",Denali Borough School District,Continental,Railbelt,Interior Economic Region,12749.7,24.9
2,North Slope Borough,Non-Unified Home Rule Borough,North Slope Borough,"Arctic Slope Native Association, Limited",North Slope Borough School District,Arctic,,Northern Economic Region,88817.1,5945.5
3,Haines Borough,Non-Unified Home Rule Borough,Haines Borough,Southeast Alaska Regional Health Consortium,Haines Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,2343.7,382.1
4,Voznesenka Village,Locality,Kenai Peninsula Borough,"Council of Athabascan Tribal Governments, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
5,Northwest Arctic Borough,Non-Unified Home Rule Borough,Northwest Arctic Borough,Maniilaq Association,Northwest Arctic Borough School District,Arctic,,Northern Economic Region,35898.3,4863.7
6,Petersburg Borough,Non-Unified Home Rule Borough,Petersburg Borough,Southeast Alaska Regional Health Consortium,Petersburg Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,2921.0,908.0
7,Yakutat,Non-Unified Home Rule Borough,City and Borough of Yakutat,Southeast Alaska Regional Health Consortium,Yakutat School District,Southeast Maritime,Southeast,Southeast Economic Region,7650.5,1808.8
8,Anchorage,Unified Home Rule Borough,Municipality of Anchorage,Alaska Native Tribal Health Consortium - ANTHC,Anchorage School District,Gulf Coast Transitional,Railbelt,Anchorage/Mat-Su Economic Region,1697.2,263.9
9,Juneau,Unified Home Rule Borough,City and Borough of Juneau,Southeast Alaska Regional Health Consortium,Juneau Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,2716.7,538.3
10,Sitka,Unified Home Rule Borough,City and Borough of Sitka,Southeast Alaska Regional Health Consortium,Sitka School District,Southeast Maritime,Southeast,Southeast Economic Region,2874.0,1937.5
11,Wrangell,Unified Home Rule Borough,City and Borough of Wrangell,Southeast Alaska Regional Health Consortium,Wrangell Public School District,Southeast Maritime,Southeast,Southeast Economic Region,2582.0,883.0
12,Big Salt,Unincorporated,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Klawock City School District,Southeast Maritime,Southeast,Southeast Economic Region,0.0,0.0
13,Razdolna Village,Locality,Kenai Peninsula Borough,"Tanana Chiefs Conference, Department of Health Services",Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
14,Ptarmigan Heights,Locality,Fairbanks North Star Borough,Southeast Alaska Regional Health Consortium,Fairbanks North Star Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
15,Ester Dome,Locality,Fairbanks North Star Borough,"Tanana Chiefs Conference, Department of Health Services",Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
16,Haystack,Locality,Fairbanks North Star Borough,,Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
17,Kachemak Selo,Locality,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
18,Klehini Valley,Locality,Haines Borough,Southeast Alaska Regional Health Consortium,Haines Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,,
19,Palmer,Home Rule City,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,3.8,0.0
20,Seward,Home Rule City,Kenai Peninsula Borough,Chugachmiut,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,14.4,7.1
21,Soldotna,Home Rule City,Kenai Peninsula Borough,Peninsula Community Health Services,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,6.9,0.5
22,Valdez,Home Rule City,Chugach Census Area,Chugachmiut,Valdez City School District,Gulf Coast Maritime,Copper River/Chugach,Gulf Coast Economic Region,222.0,55.1
23,Metlakatla,Indian reservation organized under federal law,Prince of Wales-Hyder Census Area,Metlakatla Indian Community,Annette Island School District,Southeast Maritime,Southeast,Southeast Economic Region,0.0,0.0
24,Chatanika,Locality,Fairbanks North Star Borough,Southcentral Foundation,Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
25,Chena Hot Springs,Locality,Fairbanks North Star Borough,Yukon-Kuskokwim Health Corporation,Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
26,Dyea,Locality,Municipality of Skagway,"Tanana Chiefs Conference, Department of Health Services",,Southeast Maritime,Southeast,Southeast Economic Region,,
27,Nikolaevsk,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,0.0,0.0
28,Ninilchik,CDP,Kenai Peninsula Borough,Ninilchik Village,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
29,Noatak,CDP,Northwest Arctic Borough,Maniilaq Association,Northwest Arctic Borough School District,Arctic,Northwest Arctic,Northern Economic Region,0.0,0.0
30,Pedro Bay,CDP,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Western Transitional,Bristol Bay,Southwest Economic Region,0.0,0.0
31,Perryville,CDP,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Southwest Maritime,Bristol Bay,Southwest Economic Region,,
32,Petersville,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
33,Pleasant Valley,CDP,Fairbanks North Star Borough,"Tanana Chiefs Conference, Department of Health Services",Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
34,Point Lay,CDP,North Slope Borough,"Arctic Slope Native Association, Limited",North Slope Borough School District,Arctic,North Slope,Northern Economic Region,0.0,0.0
35,Point MacKenzie,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Gulf Coast Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
36,Port Alsworth,CDP,Lake and Peninsula Borough,,Lake and Peninsula Borough School District,Western Transitional,Bristol Bay,Southwest Economic Region,,
37,Port Graham,CDP,Kenai Peninsula Borough,Chugachmiut,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
38,Primrose,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
39,Ridgeway,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
40,Salamatof,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
41,Salcha,CDP,Fairbanks North Star Borough,"Tanana Chiefs Conference, Department of Health Services",Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
42,Seldovia Village,CDP,Kenai Peninsula Borough,Seldovia Village Tribe,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
43,South Naknek,CDP,Bristol Bay Borough,Bristol Bay Area Health Corporation,Bristol Bay Borough School District,Western Transitional,Bristol Bay,Southwest Economic Region,0.0,0.0
44,Sterling,CDP,Kenai Peninsula Borough,,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
45,Susitna,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,0.0,0.0
46,Sutton-Alpine,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,0.0,0.0
47,Talkeetna,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
48,Trapper Creek,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
49,Two Rivers,CDP,Fairbanks North Star Borough,"Tanana Chiefs Conference, Department of Health Services",Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
50,Tyonek,CDP,Kenai Peninsula Borough,Native Village of Tyonek,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
51,Willow,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,0.0,0.0
52,Cordova,Home Rule City,Chugach Census Area,Chugachmiut,Cordova City School District,Gulf Coast Maritime,Copper River/Chugach,Gulf Coast Economic Region,61.4,14.3
53,Fairbanks,Home Rule City,Fairbanks North Star Borough,"Tanana Chiefs Conference, Department of Health Services",Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,32.4,0.8
54,Kenai,Home Rule City,Kenai Peninsula Borough,Kenaitze Indian Tribe,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,29.9,5.6
55,Ketchikan,Home Rule City,Ketchikan Gateway Borough,Southeast Alaska Regional Health Consortium,Ketchikan Gateway Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,3.4,0.8
56,Kodiak,Home Rule City,Kodiak Island Borough,Kodiak Area Native Association,Kodiak Island Borough School District,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,3.5,1.4
57,Nenana,Home Rule City,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Nenana City School District,Continental,Railbelt,Interior Economic Region,6.0,0.1
58,North Pole,Home Rule City,Fairbanks North Star Borough,"Tanana Chiefs Conference, Department of Health Services",Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,4.2,0.1
59,Shaktoolik,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Northern Economic Region,1.1,
60,Shishmaref,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Southeast Economic Region,2.8,4.5
61,Shungnak,2nd Class City,Northwest Arctic Borough,Maniilaq Association,Northwest Arctic Borough School District,Arctic,Northwest Arctic,Northern Economic Region,8.4,1.3
62,Stebbins,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Northern Economic Region,35.2,1.7
63,Teller,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Southeast Economic Region,1.9,0.2
64,Tenakee Springs,2nd Class City,Hoonah-Angoon Census Area,Southeast Alaska Regional Health Consortium,Chatham School District,Southeast Maritime,Southeast,Southeast Economic Region,13.8,5.3
65,Thorne Bay,2nd Class City,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Southeast Island School District,Southeast Maritime,Southeast,Southeast Economic Region,25.5,4.8
66,Togiak,2nd Class City,Dillingham Census Area,Bristol Bay Area Health Corporation,Southwest Region School District,Western Transitional,Bristol Bay,Southwest Economic Region,45.2,183.3
67,Toksook Bay,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,33.1,40.9
68,Unalakleet,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Northern Economic Region,2.9,2.3
69,Upper Kalskag,2nd Class City,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Kuspuk School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,3.8,0.4
70,Wainwright,2nd Class City,North Slope Borough,"Arctic Slope Native Association, Limited",North Slope Borough School District,Arctic,North Slope,Northern Economic Region,17.6,24.9
71,Wales,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Southeast Economic Region,2.8,0.0
72,Whale Pass,2nd Class City,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Southeast Island School District,Southeast Maritime,Southeast,Southeast Economic Region,7.86,17.98
73,White Mountain,2nd Class City,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Northern Economic Region,1.8,0.2
74,Whittier,2nd Class City,Chugach Census Area,Chugachmiut,Chugach School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,12.5,7.2
75,Anchor Point,CDP,Kenai Peninsula Borough,Seldovia Village Tribe,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
76,Bear Creek,CDP,Kenai Peninsula Borough,Chugachmiut,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
77,Big Lake,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
78,Buffalo Soapstone,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
79,Butte,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
80,Cantwell,CDP,Denali Borough,Copper River Native Association,Denali Borough School District,Continental,Railbelt,Interior Economic Region,0.0,0.0
