,Area Name,Area Type,Area Code,Year,month,period,Preliminary if value is 1,Labor Force,Employment,Unemployment,Unemployment Rate
10610,Aleutians East Borough,4,13,1990,February,2,0,1310,1304,6,0.5
10754,Aleutians East Borough,4,13,2001,March,3,0,1161,1077,84,7.2
10755,Aleutians East Borough,4,13,2001,April,4,0,1246,1159,87,7.0
10756,Aleutians East Borough,4,13,2001,May,5,0,981,902,79,8.1
10757,Aleutians East Borough,4,13,2001,June,6,0,978,885,93,9.5
10758,Aleutians East Borough,4,13,2001,July,7,0,1243,1165,78,6.3
10759,Aleutians East Borough,4,13,2001,August,8,0,1216,1142,74,6.1
10760,Aleutians East Borough,4,13,2001,September,9,0,1093,1022,71,6.5
10761,Aleutians East Borough,4,13,2001,October,10,0,977,910,67,6.9
10762,Aleutians East Borough,4,13,2001,November,11,0,553,475,78,14.1
10763,Aleutians East Borough,4,13,2001,December,12,0,495,420,75,15.2
10764,Aleutians East Borough,4,13,2001,Annual,0,0,1011,928,83,8.2
10753,Aleutians East Borough,4,13,2001,February,2,0,1199,1116,83,6.9
10765,Aleutians East Borough,4,13,2002,January,1,0,1030,925,105,10.2
10767,Aleutians East Borough,4,13,2002,March,3,0,1146,1064,82,7.2
10768,Aleutians East Borough,4,13,2002,April,4,0,1021,940,81,7.9
10769,Aleutians East Borough,4,13,2002,May,5,0,769,686,83,10.8
10770,Aleutians East Borough,4,13,2002,June,6,0,882,790,92,10.4
10771,Aleutians East Borough,4,13,2002,July,7,0,1269,1198,71,5.6
10772,Aleutians East Borough,4,13,2002,August,8,0,1227,1151,76,6.2
10773,Aleutians East Borough,4,13,2002,September,9,0,1032,955,77,7.5
10774,Aleutians East Borough,4,13,2002,October,10,0,956,885,71,7.4
10775,Aleutians East Borough,4,13,2002,November,11,0,619,521,98,15.8
10776,Aleutians East Borough,4,13,2002,December,12,0,498,400,98,19.7
10777,Aleutians East Borough,4,13,2002,Annual,0,0,970,886,84,8.7
10766,Aleutians East Borough,4,13,2002,February,2,0,1195,1116,79,6.6
10778,Aleutians East Borough,4,13,2003,January,1,0,1070,958,112,10.5
10752,Aleutians East Borough,4,13,2001,January,1,0,987,862,125,12.7
10750,Aleutians East Borough,4,13,2000,December,12,0,451,348,103,22.8
10726,Aleutians East Borough,4,13,1999,January,1,0,1607,1502,105,6.5
10727,Aleutians East Borough,4,13,1999,February,2,0,1749,1715,34,1.9
10728,Aleutians East Borough,4,13,1999,March,3,0,1709,1677,32,1.9
10729,Aleutians East Borough,4,13,1999,April,4,0,1496,1455,41,2.7
10730,Aleutians East Borough,4,13,1999,May,5,0,1486,1407,79,5.3
10731,Aleutians East Borough,4,13,1999,June,6,0,1456,1417,39,2.7
10732,Aleutians East Borough,4,13,1999,July,7,0,1686,1632,54,3.2
10733,Aleutians East Borough,4,13,1999,August,8,0,1622,1599,23,1.4
10734,Aleutians East Borough,4,13,1999,September,9,0,1552,1523,29,1.9
10735,Aleutians East Borough,4,13,1999,October,10,0,1556,1488,68,4.4
10736,Aleutians East Borough,4,13,1999,November,11,0,1424,1356,68,4.8
10751,Aleutians East Borough,4,13,2000,Annual,0,0,942,860,82,8.7
10737,Aleutians East Borough,4,13,1999,December,12,0,1380,1277,103,7.5
10739,Aleutians East Borough,4,13,2000,January,1,0,1309,1186,123,9.4
10740,Aleutians East Borough,4,13,2000,February,2,0,1360,1279,81,6.0
10741,Aleutians East Borough,4,13,2000,March,3,0,1247,1168,79,6.3
10742,Aleutians East Borough,4,13,2000,April,4,0,1009,941,68,6.7
10743,Aleutians East Borough,4,13,2000,May,5,0,802,721,81,10.1
10744,Aleutians East Borough,4,13,2000,June,6,0,924,832,92,10.0
10745,Aleutians East Borough,4,13,2000,July,7,0,979,916,63,6.4
10746,Aleutians East Borough,4,13,2000,August,8,0,958,897,61,6.4
10747,Aleutians East Borough,4,13,2000,September,9,0,842,763,79,9.4
10748,Aleutians East Borough,4,13,2000,October,10,0,755,685,70,9.3
10749,Aleutians East Borough,4,13,2000,November,11,0,657,578,79,12.0
10738,Aleutians East Borough,4,13,1999,Annual,0,0,1560,1504,56,3.6
10779,Aleutians East Borough,4,13,2003,February,2,0,1294,1203,91,7.0
10780,Aleutians East Borough,4,13,2003,March,3,0,1289,1201,88,6.8
10781,Aleutians East Borough,4,13,2003,April,4,0,853,760,93,10.9
10811,Aleutians East Borough,4,13,2005,August,8,0,1224,1143,81,6.6
10812,Aleutians East Borough,4,13,2005,September,9,0,1066,977,89,8.3
10813,Aleutians East Borough,4,13,2005,October,10,0,948,862,86,9.1
10814,Aleutians East Borough,4,13,2005,November,11,0,786,690,96,12.2
10815,Aleutians East Borough,4,13,2005,December,12,0,557,444,113,20.3
10816,Aleutians East Borough,4,13,2005,Annual,0,0,1075,972,103,9.6
10817,Aleutians East Borough,4,13,2006,January,1,0,1393,1289,104,7.5
10818,Aleutians East Borough,4,13,2006,February,2,0,1356,1258,98,7.2
10819,Aleutians East Borough,4,13,2006,March,3,0,1309,1221,88,6.7
10820,Aleutians East Borough,4,13,2006,April,4,0,1426,1326,100,7.0
10821,Aleutians East Borough,4,13,2006,May,5,0,801,683,118,14.7
10810,Aleutians East Borough,4,13,2005,July,7,0,1362,1271,91,6.7
10822,Aleutians East Borough,4,13,2006,June,6,0,1095,1006,89,8.1
10824,Aleutians East Borough,4,13,2006,August,8,0,1257,1178,79,6.3
10825,Aleutians East Borough,4,13,2006,September,9,0,1036,957,79,7.6
10826,Aleutians East Borough,4,13,2006,October,10,0,986,903,83,8.4
10827,Aleutians East Borough,4,13,2006,November,11,0,882,777,105,11.9
10828,Aleutians East Borough,4,13,2006,December,12,0,625,494,131,21.0
10829,Aleutians East Borough,4,13,2006,Annual,0,0,1136,1040,96,8.5
10830,Aleutians East Borough,4,13,2007,January,1,0,1346,1246,100,7.4
10831,Aleutians East Borough,4,13,2007,February,2,0,1214,1137,77,6.3
10832,Aleutians East Borough,4,13,2007,March,3,0,1212,1140,72,5.9
10833,Aleutians East Borough,4,13,2007,April,4,0,1437,1359,78,5.4
10834,Aleutians East Borough,4,13,2007,May,5,0,868,763,105,12.1
10823,Aleutians East Borough,4,13,2006,July,7,0,1476,1393,83,5.6
10809,Aleutians East Borough,4,13,2005,June,6,0,999,892,107,10.7
10808,Aleutians East Borough,4,13,2005,May,5,0,809,691,118,14.6
10807,Aleutians East Borough,4,13,2005,April,4,0,1231,1125,106,8.6
10782,Aleutians East Borough,4,13,2003,May,5,0,754,649,105,13.9
10783,Aleutians East Borough,4,13,2003,June,6,0,1021,909,112,11.0
10784,Aleutians East Borough,4,13,2003,July,7,0,1360,1266,94,6.9
10785,Aleutians East Borough,4,13,2003,August,8,0,1170,1081,89,7.6
10786,Aleutians East Borough,4,13,2003,September,9,0,1083,992,91,8.4
10787,Aleutians East Borough,4,13,2003,October,10,0,1082,994,88,8.1
10788,Aleutians East Borough,4,13,2003,November,11,0,652,555,97,14.9
